date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:51	197299/197299	---M--	200	added ('OK')	image/png	etag:%22302b3-650e933f-cae518b40574680d;;;%22	https://html.xpressbuddy.com/coindox/assets/img/about/about_shape2.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/about/about_shape2.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:51	24768/24768	---M--	200	added ('OK')	image/png	etag:%2260c0-650e933f-ef7f7a2a93de20ee;;;%22	https://html.xpressbuddy.com/coindox/assets/img/about/about_shape3.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/about/about_shape3.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:52	2664/2664	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a68-650e933f-aa96e7b566548e8d;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/syber_icon.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/syber_icon.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:52	780/780	---M-Z	200	added ('OK')	image/svg+xml	etag:%2230c-650e933f-2ff3717f48bb8261;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/ul_icon.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/ul_icon.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:52	68643/68643	---M--	200	added ('OK')	image/png	etag:%2210c23-650e933f-712e418a53d82ad8;;;%22	https://html.xpressbuddy.com/coindox/assets/img/bg/advantages_bg.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/bg/advantages_bg.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:52	1743/1743	---M-Z	200	added ('OK')	image/svg+xml	etag:%226cf-650e933f-138c46fc3fce0ea8;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/badge_active.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/badge_active.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:53	1802/1802	---M-Z	200	added ('OK')	image/svg+xml	etag:%2270a-650e933f-322d26098edcf077;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/badge_deactive.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/badge_deactive.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:54	2211/2211	---M-Z	200	added ('OK')	image/svg+xml	etag:%228a3-650e933f-41777b1b1952a263;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/s_01.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/s_01.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:55	1507/1507	---M-Z	200	added ('OK')	image/svg+xml	etag:%225e3-650e933f-2422da54d28c1fd1;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/s_02.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/s_02.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:55	1927/1927	---M-Z	200	added ('OK')	image/svg+xml	etag:%22787-650e933f-3c8764221db9aa29;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/s_03.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/s_03.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:56	1530/1530	---M-Z	200	added ('OK')	image/svg+xml	etag:%225fa-650e933f-ea59493f396d212d;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/s_04.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/s_04.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:56	67336/67336	---M--	200	added ('OK')	image/png	etag:%2210708-650e933f-9eee0fe64571fc2;;;%22	https://html.xpressbuddy.com/coindox/assets/img/shape/s_circle_1.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/shape/s_circle_1.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:57	8012/8012	---M--	200	added ('OK')	image/png	etag:%221f4c-650e933f-1b47a5cde16e5e20;;;%22	https://html.xpressbuddy.com/coindox/assets/img/shape/s_circle_2.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/shape/s_circle_2.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:57	12519/12519	---M--	200	added ('OK')	image/png	etag:%2230e7-650e933f-81eb714b4c9befcd;;;%22	https://html.xpressbuddy.com/coindox/assets/img/shape/s_circle_3.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/shape/s_circle_3.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:58	6543/6543	---M--	200	added ('OK')	image/png	etag:%22198f-650e933f-af4d17516943f1c9;;;%22	https://html.xpressbuddy.com/coindox/assets/img/shape/s_circle_4.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/shape/s_circle_4.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:58	5645/5645	---M--	200	added ('OK')	image/png	etag:%22160d-650e933f-830316168649ee27;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/s_icon.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/s_icon.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:59	72296/72296	---M--	200	added ('OK')	image/png	etag:%2211a68-650e933f-8a955a5faa097728;;;%22	https://html.xpressbuddy.com/coindox/assets/img/bg/team_sec_bg.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/bg/team_sec_bg.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:59	7435/7435	---M--	200	added ('OK')	image/png	etag:%221d0b-650e933f-e0fa29411cc81707;;;%22	https://html.xpressbuddy.com/coindox/assets/img/team/team_01.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/team/team_01.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:59	515/515	---M-Z	200	added ('OK')	image/svg+xml	etag:%22203-650e933f-812e118a7098c036;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/star.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/star.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:59	9740/9740	---M--	200	added ('OK')	image/png	etag:%22260c-650e933f-2291ceb1b116af8c;;;%22	https://html.xpressbuddy.com/coindox/assets/img/team/team_02.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/team/team_02.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:59	11319/11319	---M--	200	added ('OK')	image/png	etag:%222c37-650e933f-4c34b16ee2e09554;;;%22	https://html.xpressbuddy.com/coindox/assets/img/team/team_03.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/team/team_03.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:41:00	10992/10992	---M--	200	added ('OK')	image/png	etag:%222af0-650e933f-a37c6c9bd64b83c0;;;%22	https://html.xpressbuddy.com/coindox/assets/img/team/team_04.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/team/team_04.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:41:01	3901/3901	---M--	200	added ('OK')	image/png	etag:%22f3d-650e933f-ba6e3b497a0a358d;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/bitcoin_icon.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/bitcoin_icon.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:41:02	27610/27610	---M--	200	added ('OK')	image/png	etag:%226bda-650e933f-8d773c3fed0c82fc;;;%22	https://html.xpressbuddy.com/coindox/assets/img/token/token-distribution.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/token/token-distribution.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:41:02	1263/1263	---M--	200	added ('OK')	image/png	etag:%224ef-650e933f-b6b68fbfd83657fb;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/rm_icon.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/rm_icon.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:41:02	73390/73390	---M--	200	added ('OK')	image/png	etag:%2211eae-650e933f-2f3654f245422647;;;%22	https://html.xpressbuddy.com/coindox/assets/img/bg/brand_bg.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/bg/brand_bg.png	(from https://html.xpressbuddy.com/coindox/index.html)
